id,title,summary,published,authors,primary category
http://arxiv.org/abs/1408.0393v1,Standards for Graph Algorithm Primitives,"  It is our view that the state of the art in constructing a large collection
of graph algorithms in terms of linear algebraic operations is mature enough to
support the emergence of a standard set of primitive building blocks. This
paper is a position paper defining the problem and announcing our intention to
launch an open effort to define this standard.
",2014-08-02T16:17:40Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44dadf50>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44daddd0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44dadcb0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44dada70>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44dad770>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44dad590>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44dad410>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44dad230>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44dad0b0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da8770>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da8bf0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da8e30>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da8c50>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da8b30>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da89b0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da8890>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da8710>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da84d0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44da82f0>]",cs.MS
http://arxiv.org/abs/quant-ph/9703054v1,Simulation of Many-Body Fermi Systems on a Universal Quantum Computer,"  We provide fast algorithms for simulating many body Fermi systems on a
universal quantum computer. Both first and second quantized descriptions are
considered, and the relative computational complexities are determined in each
case. In order to accommodate fermions using a first quantized Hamiltonian, an
efficient quantum algorithm for anti-symmetrization is given. Finally, a
simulation of the Hubbard model is discussed in detail.
",1997-03-28T20:03:47Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d9ee30>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d9ed10>]",quant-ph
http://arxiv.org/abs/physics/0507095v1,"eRHIC Detector Design Studies - Implications and Constraints on the ep
  (A) Interaction-Region Design","  An electron-proton/ion collider facility (eRHIC) is under consideration at
Brookhaven National Laboratory (BNL). Such a new facility will require the
design and construction of a new optimized detector profiting from the world's
first ep collider facility HERA at DESY. The detailed design is closely coupled
to the design of the interaction region and thus to the machine development
work in general. Implications and constraints on the ep(A) interaction-region
design will be discussed.
",2005-07-13T16:30:49Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f45478e30>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d98c50>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d98230>]",physics.acc-ph
http://arxiv.org/abs/0902.2604v2,Toward the End of Stars: Discovering the Galaxy's Coldest Brown Dwarfs,"  This White Paper to the National Academy of Sciences Astro2010 Decadal Review
Committee highlights cross-disciplinary science opportunities over the next
decade with cold brown dwarfs, sources defined here as having photospheric
temperatures less than ~1000 K.
",2009-02-16T04:41:14Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d987d0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d985f0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d984d0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d98350>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f44d98110>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b1ddd0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b1dd10>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b1def0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b370b0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b37fb0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b379b0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b372f0>]",astro-ph.GA
http://arxiv.org/abs/math/0409145v1,Logarithmic connections with vanishing p-curvature,"  We examine logarithmic connections with vanishing p-curvature on smooth
curves by studying their kernels, describing them in terms of formal local
decomposition. We then apply our results in the case of connections of rank 2
on P^1, classifying such connections in terms of self-maps of P^1 with
prescribed ramification.
",2004-09-09T06:28:20Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b37a70>],math.AG
http://arxiv.org/abs/0804.3374v1,Coupled-Resonator Optical Near-Field Lithography,"  The problem of pattern formation in resonantly-enhanced near-field
lithography by the use of dielectric or plasmonic planar resonators is
investigated. Sub-diffraction-limited bright or dark spots can be produced by
taking advantage of the rotational invariance of planar resonators. To increase
the spatial bandwidth of the resonant enhancement, an array of coupled planar
resonators can open up a band of Bloch resonances, analogous to
coupled-resonator optical waveguides.
",2008-04-21T19:12:47Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b56590>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b56710>]",physics.optics
http://arxiv.org/abs/1109.1401v1,"Transverse Momentum Dependent Partonic Distribution and Fragmentation
  Functions","  Our knowledge on the three-dimensional momentum structure of hadrons is
encoded in the Transverse Momentum Dependent partonic distribution and
fragmentation functions (TMDs). A brief and updated review of the TMDs and of
the processes in which they might play a role is presented.
",2011-09-07T09:46:03Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b56d70>],hep-ph
http://arxiv.org/abs/0803.0779v1,Ultimate Energy Densities for Electromagnetic Pulses,"  The ultimate electric and magnetic energy densities that can be attained by
bandlimited electromagnetic pulses in free space are calculated using an ab
initio quantized treatment, and the quantum states of electromagnetic fields
that achieve the ultimate energy densities are derived. The ultimate energy
densities also provide an experimentally accessible metric for the degree of
localization of polychromatic photons.
",2008-03-06T02:45:54Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b44530>],quant-ph
http://arxiv.org/abs/0807.2150v1,Wilf conjecture,"  Let S(n,k) be the Stirling number of the second kind. Wilf conjectured that
the alternating sum of S(n,k) for k from 0 to n is not zero for all n>2. In
this paper, we prove that Wilf conjecture is true except at most one number
with the properties of weighted Motzkin number.
",2008-07-14T12:50:12Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b44c50>],math.CO
http://arxiv.org/abs/1201.5860v1,"Fragmentation Functions in-Medium, Two Particle Correlations and Jets in
  PHENIX at RHIC","  Latest results from the PHENIX experiment at RHIC on these topics will be
presented. Results will be shown for Au+Au compared to p-p collisions as well
as compared to results from fully reconstructed jets at LHC.
",2012-01-27T18:34:48Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b3b470>],nucl-ex
http://arxiv.org/abs/1802.05611v1,Microfluidics for Chemical Synthesis: Flow Chemistry,"  Klavs F. Jensen is Warren K. Lewis Professor in Chemical Engineering and
Materials Science and Engineering at the Massachusetts Institute of Technology.
Here he describes the use of microfluidics for chemical synthesis, from the
early demonstration examples to the current efforts with automated droplet
microfluidic screening and optimization techniques.
",2018-01-10T11:42:01Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b3bbf0>],physics.flu-dyn
http://arxiv.org/abs/hep-ex/9611010v1,"Semi-inclusive spin asymmetries in polarised deep inelastic electron
  scattering","  In 1995, the HERMES experiment at DESY (Hamburg, Germany) has taken its first
data, using the 27.5 GeV polarised HERA positron beam impinging on a
longitudinally polarised internal $^3$He target. Preliminary results from the
semi-inclusive physics program are presented.
",1996-11-16T09:44:17Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b522f0>],hep-ex
http://arxiv.org/abs/1809.01645v1,"Indistinguishable Single-Photon Sources with Dissipative Emitter Coupled
  to Cascaded Cavities","  Recently, Grange et al. [Phys. Rev. Lett. 114, 193601 (2015)] showed the
possibility of single photon generation with high indistinguishability from a
quantum emitter, despite strong pure dephasing, by `funneling' emission into a
photonic cavity. Here, we show that cascaded two-cavity system can further
improve the photon characteristics and greatly reduce the Q-factor requirement
to levels achievable with present-day technology. Our approach leverages recent
advances in nanocavities with ultrasmall mode volume and does not require
ultrafast excitation of the emitter. These results were obtained by numerical
and closed-form analytical models with strong emitter dephasing, representing
room-temperature quantum emitters.
",2018-09-05T17:49:05Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b52a70>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b52b90>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b52cb0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b52dd0>]",quant-ph
http://arxiv.org/abs/1811.00526v2,"Extreme Broadband Transparent Optical Phase Change Materials for
  High-Performance Nonvolatile Photonics","  Optical phase change materials (O-PCMs), a unique group of materials
featuring drastic optical property contrast upon solid-state phase transition,
have found widespread adoption in photonic switches and routers, reconfigurable
meta-optics, reflective display, and optical neuromorphic computers. Current
phase change materials, such as Ge-Sb-Te (GST), exhibit large contrast of both
refractive index (delta n) and optical loss (delta k), simultaneously. The
coupling of both optical properties fundamentally limits the function and
performance of many potential applications. In this article, we introduce a new
class of O-PCMs, Ge-Sb-Se-Te (GSST) which breaks this traditional coupling, as
demonstrated with an optical figure of merit improvement of more than two
orders of magnitude. The first-principle computationally optimized alloy,
Ge2Sb2Se4Te1, combines broadband low optical loss (1-18.5 micron), large
optical contrast (delta n = 2.0), and significantly improved glass forming
ability, enabling an entirely new field of infrared and thermal photonic
devices. We further leverage the material to demonstrate nonvolatile integrated
optical switches with record low loss and large contrast ratio, as well as an
electrically addressed, microsecond switched pixel level spatial light
modulator, thereby validating its promise as a platform material for scalable
nonvolatile photonics.
",2018-11-01T17:49:30Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b486b0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b48830>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b48950>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b48a70>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b48b90>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b48d10>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b48e30>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b48f50>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47110>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47290>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47410>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47530>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47650>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47770>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47950>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47ad0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47bf0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47d70>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47e90>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b47fb0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b4d110>]",physics.app-ph
