id,title,summary,published,authors,primary category
http://arxiv.org/abs/math/0001044v1,Mirror symmetry and actions of braid groups on derived categories,"  Talk given at Harvard, January 1999, published in the Proceedings of the
Harvard Winter School on mirror symmetry, vector bundles and lagrangian cycles,
1999, International Press. Surveys the joint work [ST, KS] with Paul Seidel and
Mikhail Khovanov.
",2000-01-07T21:47:09Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e6930b0>],math.AG
http://arxiv.org/abs/1812.04123v1,Julian Schwinger: A Centennial Celebration at Harvard,"  A biographical profile of the theoretical physicist, Julian Schwinger, and a
discussion of ""The Memories of Julian"" Centennial Celebration (held at Harvard
University on February 12, 2018) is presented herein.
",2018-11-09T21:03:53Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e693470>],physics.hist-ph
http://arxiv.org/abs/0902.3674v1,The Dynamic X-ray Sky of the Local Universe,"  Over the next decade, we can expect time domain astronomy to flourish at
optical and radio wavelengths. In parallel with these efforts, a dedicated
transient ""machine"" operating at higher energies (X-ray band through soft
gamma-rays) is required to reveal the unique subset of events with variable
emission predominantly visible above 100 eV. Here we focus on the transient
phase space never yet sampled due to the lack of a sensitive, wide-field and
triggering facility dedicated exclusively to catching high energy transients
and enabling rapid coordinated multi-wavelength follow-up. We first describe
the advancements in our understanding of known X-ray transients that can only
be enabled through such a facility and then focus on the classes of transients
theoretically predicted to be out of reach of current detection capabilities.
Finally there is the exciting opportunity of revealing new classes of X-ray
transients and unveiling their nature through coordinated follow-up
observations at longer wavelengths.
",2009-02-23T10:00:20Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92d290>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92dd70>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92dd10>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92da10>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92d950>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92d830>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92d710>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92d590>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92d410>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f3e92d110>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f74723ef0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f74723530>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f74723650>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aed650>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aedd70>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aed950>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aedb30>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aed7d0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aed050>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aedcb0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aedc50>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46aedbf0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7b90>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae72f0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7f50>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7cb0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7d70>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7a70>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae75f0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7350>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7290>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7890>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7e30>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7ad0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46ae7ef0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b4ff50>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b4f050>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b4f590>]",astro-ph.HE
http://arxiv.org/abs/astro-ph/9612126v1,HV 2554 and the supersoft X-ray source RX J0527.8-6954,"  We have re-identified HV 2554 on plates of the Harvard College Observatory.
Using photographic plates with higher sensitivity and spatial resolution taken
within the EROS programme we do not find any variability. This suggests that a
combination of variable seeing and different limiting magnitudes of the Harvard
plates result in a different size of the image of the several overlapping
objects and thus counterfeits a variability. Thus, HV 2554 should be discarded
as counterpart candidate of the supersoft X-ray source RX J0527.8-6954.
",1996-12-12T14:58:38Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b4f950>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46b4f6b0>]",astro-ph
http://arxiv.org/abs/hep-th/0104136v1,Fluxbranes in String Theory,"  A flux p-brane in D dimensions has (p+1)-dimensional Poincare invariance and
a nonzero rank (D-p-1) field strength tangent to the transverse dimensions. We
find a family of such solutions in string theory and M-theory and investigate
their properties.
",2001-04-16T19:28:44Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bd9350>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bd9f50>]",hep-th
http://arxiv.org/abs/0709.0293v2,The Effective Field Theory of Inflation,"  We study the effective field theory of inflation, i.e. the most general
theory describing the fluctuations around a quasi de Sitter background, in the
case of single field models. The scalar mode can be eaten by the metric by
going to unitary gauge. In this gauge, the most general theory is built with
the lowest dimension operators invariant under spatial diffeomorphisms, like
g^{00} and K_{mu nu}, the extrinsic curvature of constant time surfaces. This
approach allows us to characterize all the possible high energy corrections to
simple slow-roll inflation, whose sizes are constrained by experiments. Also,
it describes in a common language all single field models, including those with
a small speed of sound and Ghost Inflation, and it makes explicit the
implications of having a quasi de Sitter background. The non-linear realization
of time diffeomorphisms forces correlation among different observables, like a
reduced speed of sound and an enhanced level of non-Gaussianity.
",2007-09-04T19:32:50Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bd9590>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bd9230>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bd9290>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bd9650>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bc1b90>]",hep-th
http://arxiv.org/abs/0901.3482v1,Code injection attacks on harvard-architecture devices,"  Harvard architecture CPU design is common in the embedded world. Examples of
Harvard-based architecture devices are the Mica family of wireless sensors.
Mica motes have limited memory and can process only very small packets.
Stack-based buffer overflow techniques that inject code into the stack and then
execute it are therefore not applicable. It has been a common belief that code
injection is impossible on Harvard architectures. This paper presents a remote
code injection attack for Mica sensors. We show how to exploit program
vulnerabilities to permanently inject any piece of code into the program memory
of an Atmel AVR-based sensor. To our knowledge, this is the first result that
presents a code injection technique for such devices. Previous work only
succeeded in injecting data or performing transient attacks. Injecting
permanent code is more powerful since the attacker can gain full control of the
target sensor. We also show that this attack can be used to inject a worm that
can propagate through the wireless sensor network and possibly create a sensor
botnet. Our attack combines different techniques such as return oriented
programming and fake stack injection. We present implementation details and
suggest some counter-measures.
",2009-01-22T14:21:27Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bc1710>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46bc1350>]",cs.CR
http://arxiv.org/abs/1507.02524v1,The Infinity Pool,"  Career opportunities are often a matter of chance, but also of willingness to
cross interdisciplinary boundaries.
",2015-07-07T20:42:02Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46baf110>],astro-ph.IM
http://arxiv.org/abs/1806.10092v1,Where do ideas come from?,"  Ideas are nurtured by informal dialogues in environments where mistakes are
tolerated and critical thinking is encouraged.
",2018-06-26T16:11:51Z,[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f46baf830>],physics.pop-ph
http://arxiv.org/abs/0904.0248v1,The merger-driven evolution of warm infrared luminous galaxies,"  We present a merger-driven evolutionary model for the production of luminous
(LIRGs) and ultraluminous infrared galaxies (ULIRGs) with warm IR colours. Our
results show that simulations of gas--rich major mergers including star
formation, black hole growth, and feedback can produce warm (U)LIRGs. We also
find that while the warm evolutionary phase is associated with increased AGN
activity, star formation alone may be sufficient to produce warm IR colours.
However, the transition can be suppressed entirely - even when there is a
significant AGN contribution - when we assume a single-phase ISM, which
maximizes the attenuation. Finally, our evolutionary models are consistent with
the 25-to-60 micron flux density ratio vs. L_HX/L_IR relation for local LIRGs
and ULIRGs, and predict the observed scatter in IR color at fixed L_HX/L_IR.
Therefore, our models suggest a cautionary note in the interpretation of warm
IR colours: while associated with periods of active black hole growth, they are
probably produced by a complex mix of star formation and AGN activity
intermediate between the cold star formation dominated phase and the birth of a
bright, unobscured quasar.
",2009-04-01T20:00:02Z,"[<Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f74663710>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f74663650>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f746638f0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f74663830>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f74663dd0>, <Element '{http://www.w3.org/2005/Atom}name' at 0x7f4f74663c50>]",astro-ph.CO
